BIN,Brand,Type,Category,Issuer,IssuerPhone,IssuerUrl,isoCode2,isoCode3,CountryName,Color
471977,VISA,CREDIT,CLASSIC,CARD SERVICES FOR CREDIT UNIONS,+17275366800,https://www.cscu.net,US,USA,UNITED STATES,
471978,VISA,CREDIT,CLASSIC,SETTLERS FEDERAL CREDIT UNION,,,US,USA,UNITED STATES,
471979,VISA,CREDIT,TRADITIONAL REWARDS,ZEAL CREDIT UNION,+18003218570,https://www.zealcu.org,US,USA,UNITED STATES,
471980,VISA,CREDIT,CLASSIC,SHARON SAVINGS BANK,+18333376075,https://sharonbank.com,US,USA,UNITED STATES,
472016,VISA,CREDIT,CLASSIC,CF BANK,+16143347979,https://cf.bank,US,USA,UNITED STATES,
472017,VISA,CREDIT,BUSINESS,CF BANK,+16143347979,https://cf.bank,US,USA,UNITED STATES,
472018,VISA,CREDIT,CLASSIC,CF BANK,+16143347979,https://cf.bank,US,USA,UNITED STATES,
472036,VISA,CREDIT,PLATINUM,PALISADES FEDERAL CREDIT UNION,+18004387415,https://www.palisadesfcu.org,US,USA,UNITED STATES,
472099,VISA,CREDIT,CLASSIC,"WELLS FARGO BANK, N.A.",+18008693557,https://www.wellsfargo.com,US,USA,UNITED STATES,#a00000
472103,VISA,CREDIT,CLASSIC,"WELLS FARGO BANK, N.A.",+18008693557,https://www.wellsfargo.com,US,USA,UNITED STATES,#a00000
472104,VISA,CREDIT,GOLD,"WELLS FARGO BANK, N.A.",+18008693557,https://www.wellsfargo.com,US,USA,UNITED STATES,#a00000
472105,VISA,CREDIT,BUSINESS,"WELLS FARGO BANK, N.A.",+18008693557,https://www.wellsfargo.com,US,USA,UNITED STATES,#a00000
472107,VISA,CREDIT,BUSINESS,COLUMN N.A.,,,US,USA,UNITED STATES,#a00000
472108,VISA,CREDIT,PLATINUM,"WELLS FARGO BANK, N.A.",+18008693557,https://www.wellsfargo.com,US,USA,UNITED STATES,#a00000
472112,VISA,CREDIT,TRADITIONAL,UNIVERSITY OF ILLINOIS COMMUNITY CREDIT UNION,,,US,USA,UNITED STATES,
472161,VISA,CREDIT,CLASSIC,"AMERICAN BANK, N.A.",+18002578086,https://www.americanbank.com,US,USA,UNITED STATES,
472164,VISA,CREDIT,GOLD,"WELLS FARGO BANK, N.A.",+18008693557,https://www.wellsfargo.com,US,USA,UNITED STATES,#a00000
472176,VISA,CREDIT,CLASSIC,"AMERICA'S CREDIT UNION, A FEDERAL CREDIT UNION",+19724945328,https://www.americascu.org,US,USA,UNITED STATES,
472177,VISA,CREDIT,CLASSIC,"AMERICA'S CREDIT UNION, A FEDERAL CREDIT UNION",+19724945328,https://www.americascu.org,US,USA,UNITED STATES,
472178,VISA,CREDIT,TRADITIONAL REWARDS,"AMERICA'S CREDIT UNION, A FEDERAL CREDIT UNION",+19724945328,https://www.americascu.org,US,USA,UNITED STATES,
472182,VISA,CREDIT,,MERRICK BANK,+18002045936,https://merrickbank.com,US,USA,UNITED STATES,
472183,VISA,CREDIT,,MERRICK BANK,+18002045936,https://merrickbank.com,US,USA,UNITED STATES,
472184,VISA,CREDIT,,MERRICK BANK,+18002045936,https://merrickbank.com,US,USA,UNITED STATES,
